Museum Name	Legal Name	Museum Type	Latitude	Longitude	Income	Revenue
ALASKA STATE MUSEUM	FRIENDS OF THE ALASKA STATE MUSEUM	GENERAL MUSEUM	58.30048	-134.4148	182675.0	129192.0
ALASKA TERRITORIAL CAVALRY MOTORIZED	ALASKA TERRITORIAL CAVALRY MOTORIZED	GENERAL MUSEUM	61.19007	-149.91195	0.0	0.0
ALASKA TROOPER MUSEUM	FRATERNAL ORDER OF ALASKA STATE TROOPERS CHARITY CORPORATIO	GENERAL MUSEUM	61.21765	-149.88622	769702.0	221807.0
ALASKA VETERANS MUSEUM	ALASKA VETERANS MUSEUM	HISTORY MUSEUM	61.21406	-149.87855	0.0	0.0
ALASKA WILDLIFE CONSERVATION CENTER	ALASKA WILDLIFE CONSERVATION CENTER INC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	60.96435	-149.13368	3331564.0	2793744.0
ALASKA ZOO	ALASKA ZOO	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	61.12476	-149.79254	3310088.0	2393748.0
ALPINE HISTORICAL SOCIETY	ALPINE HISTORICAL SOCIETY	HISTORIC PRESERVATION	61.76392	-148.38192	157509.0	157509.0
ALUTIIQ HERITAGE ENDOWMENT	THE ALUTIIQ HERITAGE ENDOWMENT	HISTORIC PRESERVATION	61.18152	-149.88518	331826.0	15734.0
ALUTIIQ HERITAGE FOUNDATION	ALUTIIQ HERITAGE FOUNDATION	GENERAL MUSEUM	57.78869	-152.4025	1103875.0	1055839.0
ANCHORAGE CLAY ARTS GUILD	ANCHORAGE CLAY ARTS GUILD	ART MUSEUM	61.18495	-149.89178	0.0	0.0
ANCHORAGE GENEALOGICAL SOCIETY	ANCHORAGE GENEALOGICAL SOCIETY	HISTORIC PRESERVATION	61.18495	-149.89178	8282.0	8282.0
ANCHORAGE MUSEUM	ANCHORAGE MUSEUM FOUNDATION	GENERAL MUSEUM	61.21608	-149.8853	6851982.0	4116780.0
BARANOV MUSEUM	KODIAK HISTORICAL SOCIETY	HISTORIC PRESERVATION	57.7885	-152.39915	333248.0	288158.0
BRISTOL BAY HISTORICAL SOCIETY	BRISTOL BAY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	58.85984	-156.71037	0.0	0.0
BUNNELL STREET GALLERY	BUNNELL STREET ARTS CENTER	ART MUSEUM	59.64002	-151.54459	335104.0	335104.0
CAPE DECISION LIGHTHOUSE SOCIETY	CAPE DECISION LIGHTHOUSE SOCIETY	HISTORIC PRESERVATION	57.05246	-135.3427	0.0	0.0
CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION	CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION	HISTORIC PRESERVATION	60.07439	-147.99241	59819.0	59819.0
CARR-GOTTSTEIN GALLERY	ALASKA PACIFIC UNIVERSITY	ART MUSEUM	61.18889	-149.80347	66512448.0	63692296.0
CENTER FOR ALASKAN COASTAL STUDIES	CENTER FOR ALASKAN COASTAL STUDIES	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	59.64585	-151.52423	914275.0	908922.0
CHILKAT INDIAN VILLAGE	FOUNDATION FOR THE CHILKAT CENTER FOR THE ARTS	HISTORIC PRESERVATION	59.24675	-135.47365	0.0	0.0
CHILKAT VALLEY HISTORICAL SOCIETY	CHILKAT VALLEY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	59.24675	-135.47365	0.0	0.0
CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY	CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY	HISTORIC PRESERVATION	61.38967	-149.47465	0.0	0.0
CIRCLE DISTRICT HISTORICAL SOCIETY	CIRCLE DISTRICT HISTORICAL SOCIETY	HISTORIC PRESERVATION	65.34556	-145.14026	0.0	0.0
CLAUDIA KELSEY DOLL MUSEUM	CLAUDIA KELSEY DOLL MUSEUM TR DBA AUNT CLAUDIAS DOLLS A MUS	GENERAL MUSEUM	58.3005	-134.40561	0.0	0.0
CLAUSEN MEMORIAL MUSEUM	CLAUSEN MEMORIAL MUSEUM	HISTORY MUSEUM	56.80634	-132.96963	86045.0	86045.0
COPPER VALLEY HISTORICAL SOCIETY	COPPER VALLEY HISTORICAL SOCIETY	HISTORIC PRESERVATION	61.92025	-145.38294	0.0	0.0
CORDOVA HISTORICAL SOCIETY	CORDOVA HISTORICAL SOCIETY	HISTORIC PRESERVATION	60.07439	-147.99241	47693.0	34193.0
DENALI NATIONAL PARK AND PRESERVE	DENALI EDUCATION CENTER	HISTORIC PRESERVATION	63.62586	-150.90305	1422621.0	1416741.0
EAGLE HISTORICAL SOCIETY	EAGLE HISTORICAL SOCIETY OF ALASKA	HISTORIC PRESERVATION	64.78917	-141.20294	16773.0	14657.0
EAGLE HISTORICAL SOCIETY OF ALASKA	EAGLE HISTORICAL SOCIETY OF ALASKA	HISTORIC PRESERVATION	64.78917	-141.20294	16773.0	14657.0
EAGLE RIVER NATURE CENTER	FRIENDS OF EAGLE RIVER NATURE CENTER INC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	61.23644	-149.27332	295812.0	268677.0
FAIRBANKS CHILDREN'S MUSEUM	FAIRBANKS CHILDRENS MUSEUM	CHILDREN'S MUSEUM	64.84217	-147.72078	156377.0	156377.0
FAIRBANKS COMMUNITY MUSEUM	THE FAIRBANKS COMMUNITY MUSEUM	HISTORY MUSEUM	64.84231	-147.72457	0.0	0.0
FAIRBANKS HOCKEY HALL OF FAME	FAIRBANKS HOCKEY HALL OF FAME INC	GENERAL MUSEUM	64.83881	-147.70136	35320.0	31075.0
GASTINEAU CHANNEL HISTORICAL SOCIETY	GASTINEAU CHANNEL HISTORICAL SOCIETY	HISTORIC PRESERVATION	58.30836	-134.39819	0.0	0.0
GLENN HIGHWAY SCENIC BYWAY ASSOCIATION	GLENN HIGHWAY SCENIC BYWAY ASSOCIATION INC	HISTORIC PRESERVATION	61.31504	-149.52682	0.0	0.0
GOLDBELT HERITAGE FOUNDATION	GOLDBELT HERITAGE FOUNDATION	HISTORIC PRESERVATION	58.33036	-134.47205	1549084.0	1549084.0
GUSTAVUS HISTORICAL ARCHIVES AND ANTIQUITIES	GUSTAVUS HISTORICAL ARCHIVES ANDANTIQUITIES	HISTORIC PRESERVATION	58.82437	-136.97103	0.0	0.0
HAL HOPKINS WW II MEMORIAL	HAL HOPKINS WW II MEMORIAL INC	HISTORIC PRESERVATION	61.19491	-149.76884	0.0	0.0
HAMMER MUSEUM	HAMMER MUSEUM INC	HISTORY MUSEUM	59.24675	-135.47365	0.0	0.0
HISTORIC HALL	HISTORIC HALL INC	HISTORIC PRESERVATION	64.85079	-147.82945	0.0	0.0
HOMER SOCIETY OF NATURAL HISTORY	HOMER SOCIETY OF NATURAL HISTORY INC	NATURAL HISTORY MUSEUM	59.6447	-151.5504	780811.0	742408.0
HOPE AND SUNRISE HISTORICAL SOCIETY	HOPE AND SUNRISE HISTORICAL SOCIETY	HISTORIC PRESERVATION	60.88669	-149.54407	0.0	0.0
HUBBELL FAMILY HISTORICAL SOCIETY	HUBBELL FAMILY HISTORICAL SOCIETY	HISTORIC PRESERVATION	60.58442	-151.23509	0.0	0.0
IDITAROD NATIONAL HISTORIC TRAIL	IDITAROD NATIONAL HISTORIC TRAIL INC	HISTORIC PRESERVATION	61.19811	-149.92363	91510.0	91510.0
INTERNATIONAL GALLERY OF CONTEMPORARY ARTS	INTERNATIONAL GALLERY OF CONTEMPORARY ARTS INC	ART MUSEUM	61.21824	-149.88931	48842.0	39227.0
JENSEN-OLSON ARBORETUM	FRIENDS OF JENSEN-OLSON ARBORETUM	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	58.48383	-134.77955	0.0	0.0
JESSE LEE HOME	FRIENDS OF THE JESSE LEE HOME	HISTORIC PRESERVATION	60.20885	-149.38716	1037819.0	1037819.0
JILKAAT KWAAN HERITAGE CENTER	JILKATT KWANN CULTURAL HERITAGE CENTER - BALD EAGLE OBSERVA	GENERAL MUSEUM	59.24675	-135.47365	78314.0	78314.0
JUNEAU DOUGLAS CITY MUSEUM	FRIENDS OF THE JUNEAU-DOUGLAS CITY MUSEUM	GENERAL MUSEUM	58.30418	-134.42701	0.0	0.0
KACHEMAK HERITAGE LAND TRUST	KACHEMAK HERITAGE LAND TRUST INC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	59.64583	-151.53416	454933.0	287801.0
KAKE TRIBAL HERITAGE FOUNDATION	KAKE TRIBAL HERITAGE FOUNDATION	HISTORIC PRESERVATION	56.97824	-133.94876	0.0	0.0
KASILOF REGIONAL HISTORICAL ASSOCIATION	KASILOF REGIONAL HISTORICAL ASSOCIATION	HISTORIC PRESERVATION	60.33002	-151.28922	37843.0	37598.0
KENAI HISTORICAL SOCIETY	KENAI HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	60.58442	-151.23509	0.0	0.0
KNIK MUSEUM	WASILLA-KINK HISTORICAL SOCIETY	HISTORY MUSEUM	61.58245	-149.43945	39167.0	36901.0
KODIAK HISTORICAL SOCIETY	KODIAK HISTORICAL SOCIETY	HISTORIC PRESERVATION	57.7885	-152.39915	333248.0	288158.0
KODIAK MARITIME MUSEUM AND ART CENTER	KODIAK MARITIME MUSEUM AND ART CENTER	ART MUSEUM	57.79263	-152.40165	85602.0	85352.0
MARIE DRAKE PLANETARIUM	FRIENDS OF THE MARIE DRAKE PLANETARIUM	SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM	58.36674	-134.61082	0.0	0.0
MCCARTHY-KENNICOTT HISTORICAL MUSEUM	MCCARTHY-KENNICOTT HISTORICAL MUSEUM	HISTORIC PRESERVATION	62.1077	-145.52846	0.0	0.0
MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY	MUSEUM OF ALASKA TRANSPORATION AND INDUSTRY INC	HISTORY MUSEUM	61.58414	-149.44139	87442.0	67641.0
MUSEUM OF THE ALEUTIANS	MUSEUM OF THE ALEUTIANS	GENERAL MUSEUM	53.87139	-166.54126	638447.0	609946.0
MUSEUMS ALASKA	MUSEUMS ALASKA INCORPORATED	GENERAL MUSEUM	59.66896	-151.48517	433429.0	433429.0
NEW YORK ALASKA HOUSE	NEW YORK ALASKA HOUSE INC	ART MUSEUM	61.13325	-149.94851	50.0	50.0
OCEANSALASKA	OCEANSALASKA	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	55.35076	-131.67274	892091.0	534898.0
OSCAR ANDERSON HOUSE	ALASKA ASSOCIATION FOR HISTORIC PRESERVATION INC	HISTORIC PRESERVATION	61.22198	-149.88169	133637.0	133637.0
PALMER HISTORICAL SOCIETY	PALMER HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	61.59873	-149.11008	0.0	0.0
PALMER MUSEUM OF HISTORY AND ART	PALMER MUSEUM OF HISTORY AND ART	GENERAL MUSEUM	61.59857	-149.11359	161428.0	144442.0
PELELIO WAR HISOTIRCAL SOCIETY	PELELIO WAR HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	61.68606	-149.22797	0.0	0.0
PIONEER MEMORIAL PARK	PIONEER MEMORIAL PARK INC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	64.83685	-147.76725	0.0	0.0
PIONEERS OF ALASKA	PIONEERS OF ALASKA	HISTORIC PRESERVATION	64.49805	-165.41115	587933.0	29269.0
PRATT MUSEUM	PATRONS OF THE PRATT SOCIETY	ART MUSEUM	59.6447	-151.5504	65544.0	65544.0
PRIBILOF ALEUTS	PRIBILOF ALEUTS INC	GENERAL MUSEUM	61.14654	-149.87117	0.0	0.0
RESURRECTION BAY HISTORICAL SOCIETY	RESURRECTION BAY HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	60.20885	-149.38716	0.0	0.0
RIO GRANDE MODELING & HISTORICAL SOCIETY	RIO GRANDE MODELING & HISTORICAL SOCIETY	HISTORIC PRESERVATION	38.89506	-104.75644	31028.0	28358.0
RUSSIAN ORTHODOX MUSEUM	RUSSIAN ORTHODOX SACRED SITES IN ALASKA INC	HISTORIC PRESERVATION	61.19955	-149.73354	349281.0	349281.0
RUSSIAN ORTHODOX SACRED SITES IN ALASKA	RUSSIAN ORTHODOX SACRED SITES IN ALASKA INC	HISTORIC PRESERVATION	61.19955	-149.73354	349281.0	349281.0
SAMUEL FOX MUSEUM	SAMUEL K FOX MUSEUM ASSOC	GENERAL MUSEUM	59.04004	-158.45869	0.0	0.0
SEALASKA HERITAGE INSTITUTE	SEALASKA HERITAGE INSTITUTE	GENERAL MUSEUM	58.30039	-134.40814	7870397.0	7812834.0
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE	SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	60.20885	-149.38716	9601562.0	9469200.0
SEWARD COMMUNITY LIBRARY	SEWARD COMMUNITY LIBRARY ASSOCIATION INC	GENERAL MUSEUM	60.20885	-149.38716	25020.0	20137.0
SEWARD MUSEUM	RESURRECTION BAY HISTORICAL SOCIETY INC	GENERAL MUSEUM	60.20885	-149.38716	0.0	0.0
SHELDON JACKSON MUSEUM	FRIENDS OF SHELDON JACKSON MUSEUM	NATURAL HISTORY MUSEUM	57.05064	-135.32213	85605.0	49871.0
SHELDON MUSEUM AND CULTURAL CENTER	SHELDON MUSEUM AND CULTURAL CENTER INC	HISTORY MUSEUM	59.24675	-135.47365	323889.0	323889.0
SIMON PANEAK MEMORIAL MUSEUM	SIMON PANEAK MEMORIAL MUSEUM INC	GENERAL MUSEUM	68.24085	-151.89265	0.0	0.0
SITKA HISTORICAL SOCIETY	SITKA HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	57.04922	-135.34093	186233.0	160043.0
SITKA MARITIME HERITAGE SOCIETY	SITKA MARITIME HERITAGE SOCIETY INC	HISTORY MUSEUM	57.06019	-135.33625	36802.0	34039.0
SITKA SOUND SCIENCE CENTER	SITKA SOUND SCIENCE CENTER	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	57.04983	-135.32401	1958626.0	1923217.0
SOLDOTNA HISTORICAL SOCIETY	SOLDOTNA HISTORICAL SOCIETY AND MUSEUM INC	HISTORIC PRESERVATION	60.49083	-151.0738	15193.0	15193.0
SOLDOTNA HISTORICAL SOCIETY AND MUSEUM	SOLDOTNA HISTORICAL SOCIETY AND MUSEUM INC	HISTORIC PRESERVATION	60.4771	-151.0871	15193.0	15193.0
STORIS MUSEUM	STORIS MUSEUM	GENERAL MUSEUM	58.29323	-134.43055	0.0	0.0
TALKEETNA HISTORICAL SOCIETY	TALKEETNA HISTORICAL SOCIETY	HISTORIC PRESERVATION	62.1755	-149.90017	85074.0	78315.0
TANANA YUKON HISTORICAL SOCIETY	TANANA YUKON HISTORICAL SOCIETY	HISTORIC PRESERVATION	64.84339	-147.71869	19338.0	18705.0
TENAKEE HISTORICAL COLLECTION	TENAKEE HISTORICAL COLLECTION	HISTORIC PRESERVATION	57.77996	-135.21791	0.0	0.0
TOCHAK HISTORICAL SOCIETY	TOCHAK HISTORICAL SOCIETY	HISTORIC PRESERVATION	62.91264	-154.94429	0.0	0.0
TONGASS HISTORICAL SOCIETY	TONGASS HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	55.34242	-131.64029	0.0	0.0
TREADWELL HISTORIC PRESERVATION & RESTORATION SOCIETY	TREADWELL HISTORIC PRESERVATION AND RESTORATION SOCIETY INC	HISTORIC PRESERVATION	58.27846	-134.3996	0.0	0.0
VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE	VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE	HISTORIC PRESERVATION	61.10482	-146.21652	0.0	0.0
VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION	VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION INCORPORAT	HISTORY MUSEUM	61.10482	-146.21652	678148.0	645570.0
WASILLA-KINK HISTORICAL SOCIETY	WASILLA-KINK HISTORICAL SOCIETY	HISTORIC PRESERVATION	61.58245	-149.43945	39167.0	36901.0
WESTERN HISTORY ASSOCIATION	WESTERN HISTORY ASSOCIATION	HISTORIC PRESERVATION	64.81712	-147.87837	336681.0	224685.0
WHALE PROJECT	WHALE PROJECT	HISTORIC PRESERVATION	58.37524	-134.7312	327481.0	327481.0
WHITESTONE FARMS	WHITESTONE FARMS INC	HISTORIC PRESERVATION	64.10761	-145.7709	357970.0	193187.0
WHITTIER MUSEUM ASSOCIATION	WHITTIER MUSEUM ASSOCIATION	HISTORY MUSEUM	60.77	-148.68	0.0	0.0
AFRICAN AMERICAN HERITAGE TRAIL	FRIENDS OF AFRICAN AMERICAN HERITAGE TRAIL INC	GENERAL MUSEUM	30.68582	-88.04614	0.0	0.0
AIRCRAFT ENGINE HISTORICAL SOCIETY	AIRCRAFT ENGINE HISTORICAL SOCIETY INC	HISTORIC PRESERVATION	34.75203	-86.63848	0.0	0.0
ALABAMA CENTER FOR AMERICAN HISTORY	ALABAMA CENTER FOR AMERICAN HISTORY INC	HISTORY MUSEUM	33.35966	-86.59573	312533.0	312533.0
ALABAMA CENTER OF MILITARY HISTORY	ALABAMA CENTER OF MILITARY HISTORY	HISTORIC PRESERVATION	34.69017	-86.58225	64159.0	64159.0
ALABAMA CITY HISTORICAL ASSOCIATION	ALABAMA CITY HISTORICAL ASSOCIATION	HISTORIC PRESERVATION	33.99526	-86.08196	0.0	0.0
ALABAMA COMPANY JAMESTOWNE SOCIETY	ALABAMA COMPANY JAMESTOWNE SOCIETY	HISTORIC PRESERVATION	34.6575	-86.52653	0.0	0.0
ALABAMA CONSTITUTION VILLAGE	ALABAMA CONSTITUTION VILLAGE FOUNDATION	HISTORIC PRESERVATION	34.72664	-86.57223	1101454.0	806811.0
ALABAMA CONSTITUTION VILLAGE FOUNDATION	ALABAMA CONSTITUTION VILLAGE FOUNDATION	GENERAL MUSEUM	34.72861	-86.58469	1101454.0	806811.0
ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER	ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER INC	HISTORIC PRESERVATION	33.5115	-86.84821	21884.0	21884.0
ALABAMA GOVERNORS MANSION	FRIENDS OF THE ALABAMA GOVERNORS MANSION INC	HISTORIC PRESERVATION	32.36426	-86.3031	0.0	0.0
ALABAMA HISTORIC IRONWORKS COMMISSION	ALABAMA HISTORIC IRONWORKS COMMISSION	HISTORIC PRESERVATION	33.26851	-87.08321	1748733.0	1642172.0
ALABAMA HISTORICAL RADIO SOCIETY	ALABAMA HISTORICAL RADIO SOCIETY INC	HISTORIC PRESERVATION	33.51784	-86.81185	0.0	0.0
ALABAMA JAZZ HALL OF FAME	ALABAMA JAZZ HALL OF FAME INC	GENERAL MUSEUM	33.51458	-86.81283	369221.0	368247.0
ALABAMA LABOR ARCHIVES AND HISTORY	ALABAMA LABOR ARCHIVES AND HISTORY	HISTORY MUSEUM	32.37285	-86.30467	0.0	0.0
ALABAMA LIGHTHOUSE ASSOCIATION	ALABAMA LIGHTHOUSE ASSOCIATION	HISTORIC PRESERVATION	30.69651	-88.04401	0.0	0.0
ALABAMA MENS HALL OF FAME	ALABAMA MENS HALL OF FAME AN ELEEMOSYNARY CORP	GENERAL MUSEUM	33.46411	-86.78814	7618.0	7618.0
ALABAMA MINING MUSEUM	ALABAMA MINING MUSEUM	HISTORY MUSEUM	33.73169	-87.09091	62187.0	62187.0
ALABAMA NEGRO LEAGUE BASEBALL MUSEUM FOUNDATION	ALABAMA NEGRO LEAGUE BASEBALLMUSEUM FOUNDATION	GENERAL MUSEUM	33.51634	-86.80581	0.0	0.0
ALABAMA RIVER REGION ARTS CENTER	ALABAMA RIVER REGION ARTS CENTER	ART MUSEUM	32.59985	-86.20616	0.0	0.0
ALABAMA SPORTS HALL OF FAME	ALABAMA SPORTS HALL OF FAME	GENERAL MUSEUM	33.52522	-86.81047	586834.0	488198.0
ALABAMA TRAIL OF TEARS CORRIDOR ASSOCIATION	ALABAMA TRAIL OF TEARS CORRIDOR ASSOCIATION	HISTORIC PRESERVATION	34.7084	-86.61731	0.0	0.0
ALABAMA TRUST FOR HISTORIC PRESERVATION	ALABAMA TRUST FOR HISTORIC PRESERVATION	HISTORIC PRESERVATION	32.56319	-88.13818	118576.0	118576.0
ALABAMA VETERANS MUSEUM & ARCHIVES	ALABAMA VETERANS MUSEUM & ARCHIVES	HISTORY MUSEUM	34.80672	-86.97072	126728.0	118567.0
ALABAMA WILDLIFE CENTER	ALABAMA WILDLIFE CENTER	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	33.32452	-86.79516	463192.0	440703.0
ALABAMA ZOOLOGICAL SOCIETY	ALABAMA ZOOLOGICAL SOCIETY	ZOO, AQUARIUM, OR WILDLIFE CONSERVATION	33.48437	-86.77398	0.0	0.0
ALDRIDGE GARDENS	ALDRIDGE GARDENS	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	33.38533	-86.79432	538889.0	538889.0
ALICEVILLE HISTORICAL PRESERVATION COMMISSION	ALICEVILLE HISTORICAL PRESERVATION COMMISSION INC	HISTORIC PRESERVATION	33.13138	-88.13725	0.0	0.0
ALICEVILLE MUSEUM	ALICEVILLE MUSEUM INC	HISTORY MUSEUM	33.12964	-88.16462	72827.0	72827.0
ALTAMONT SCHOOL	ALTAMONT SCHOOL	ART MUSEUM	33.51706	-86.75704	6812202.0	6772233.0
AMERICAN INDIAN MUSEUM	AMERICAN INDIAN MUSEUM	NATURAL HISTORY MUSEUM	34.75987	-86.59152	0.0	0.0
ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM	ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM	HISTORY MUSEUM	32.40797	-87.01614	0.0	0.0
ARAB HISTORICAL SOCIETY	ARAB HISTORICAL SOCIETY	HISTORIC PRESERVATION	34.32768	-86.49274	0.0	0.0
ARLINGTON HISTORICAL ASSOCIATION	ARLINGTON HISTORICAL ASSOCIATION	HISTORIC PRESERVATION	33.50743	-86.747	0.0	0.0
ARTSREVIVE	ARTSREVIVE COMMUNITY DEVELOPMENT CORPORATION	HISTORIC PRESERVATION	32.40623	-87.02243	206923.0	206923.0
ASHVILLE MASONIC LODGE COUNCIL	THE ASHVILLE MASONIC LODGE COUNCIL INC	HISTORIC PRESERVATION	33.79484	-86.27299	0.0	0.0
ATCHISON COUNTY HISTORICAL SOCIETY	ATCHISON COUNTY HISTORICAL SOCIETY	HISTORIC PRESERVATION	39.56301	-95.12723	43103.0	43103.0
ATMORE HISTORICAL SOCIETY	ATMORE HISTORICAL SOCIETY	HISTORIC PRESERVATION	31.00903	-87.49114	0.0	0.0
AUBURN PRESERVATION LEAGUE	AUBURN PRESERVATION LEAGUE	HISTORIC PRESERVATION	32.61251	-85.47712	0.0	0.0
AUTAUGA COUNTY HERITAGE ASSOCIATION	AUTAUGA COUNTY HERITAGE ASSOCIATION	HISTORIC PRESERVATION	32.45953	-86.47176	112856.0	51666.0
AUTAUGA GENEALOGICAL SOCIETY	AUTAUGA GENEALOGICAL SOCIETY	HISTORIC PRESERVATION	32.46438	-86.42472	0.0	0.0
B BATTERY 711 AAA GUN BATTALION MEMORIAL	B BATTERY 711 AAA GUN BATTALION MEMORIAL	HISTORIC PRESERVATION	30.87652	-87.78158	0.0	0.0
BALDWIN COUNTY EXPRESS	BALDWIN COUNTY EXPRESS INC	HISTORY MUSEUM	30.50572	-87.60636	0.0	0.0
BALDWIN HERITAGE MUSEUM ASSOCIATION	BALDWIN HERITAGE MUSEUM ASSOCIATION INC	GENERAL MUSEUM	30.39654	-87.56298	63718.0	56883.0
BARBOUR COUNTY GOVERNORS TRAIL	BARBOUR COUNTY GOVERNORS TRAIL COUNCIL INC	HISTORIC PRESERVATION	31.84169	-85.43541	0.0	0.0
BARE HANDS GALLERY	BARE HANDS GALLERY INC	ART MUSEUM	33.51634	-86.80581	54487.0	54487.0
BAYBEARS CHARITIES	BAYBEARS CHARITIES INC	GENERAL MUSEUM	30.64483	-88.11585	21702.0	13548.0
BELLINGRATH GARDENS AND HOME	BELLINGRATH GARDENS AND HOME FOUNDATION INC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	30.4637	-88.15263	3110338.0	2733087.0
BERMAN MUSEUM OF WORLD HISTORY	FARLEY L BERMAN FOUNDATION INC	GENERAL MUSEUM	33.65842	-85.82646	150662.0	143128.0
BESSEMER HALL OF HISTORY	BESSEMER HALL OF HISTORY INC	HISTORY MUSEUM	33.40094	-86.95051	9281.0	8783.0
BIRMINGHAM BLACK RADIO MUSEUM	BIRMINGHAM BLACK RADIO MUSEUM	GENERAL MUSEUM	33.49047	-86.80692	0.0	0.0
BIRMINGHAM CIVIL RIGHTS INSTITUTE	BIRMINGHAM CIVIL RIGHTS INSTITUTE	HISTORIC PRESERVATION	33.5128	-86.81171	2736160.0	2736160.0
BIRMINGHAM HISTORICAL SOCIETY	BIRMINGHAM HISTORICAL SOCIETY	HISTORIC PRESERVATION	33.49589	-86.78154	210641.0	136632.0
BIRMINGHAM HISTORY CENTER	BIRMINGHAM HISTORY CENTER	HISTORY MUSEUM	33.51496	-86.80949	188366.0	188366.0
BIRMINGHAM JEFFERSON HISTORICAL SOCIETY TERM	BIRMINGHAM JEFFERSON HISTORICAL SOCIETY TERM	HISTORIC PRESERVATION	33.50743	-86.747	16565.0	16565.0
BIRMINGHAM LANDMARKS	BIRMINGHAM LANDMARKS INC	HISTORIC PRESERVATION	33.51496	-86.80949	3894335.0	3837208.0
BIRMINGHAM MUSEUM OF ART	BIRMINGHAM MUSEUM OF ART MEMBERS	ART MUSEUM	33.52206	-86.80939	25404.0	25404.0
